Car_id,Date,Gender,Dealer_Name,Dealer_Region,Company,Model,Body Style,Color,Transmission,Engine,Annual Income,Price ($),Dealer_No ,Phone,
C_CND_014027,5/26/2023,Male,U-Haul CO,Austin,Oldsmobile,Bravada,Hatchback,Black,Auto,DoubleÂ Overhead Camshaft,11200000,26001,78758-7841,6085179,
C_CND_015676,7/10/2023,Male,Motor Vehicle Branch Office,Austin,Mercedes-B,S-Class,SUV,Black,Manual,Overhead Camshaft,8000000,85000,78758-7841,8315091,
C_CND_006151,9/22/2022,Male,Tri-State Mack Inc,Aurora,Hyundai,Sonata,SUV,Pale White,Manual,Overhead Camshaft,7650000,21000,85257-3102,8246892,
C_CND_009997,12/17/2022,Male,Progressive Shippers Cooperative Association No,Greenville,BMW,323i,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,6800000,15000,53546-9427,8787073,
C_CND_022408,12/5/2023,Male,Scrivener Performance Engineering,Aurora,Mercury,Sable,Sedan,Red,Auto,DoubleÂ Overhead Camshaft,6600000,39000,38701-8047,6307543,
C_CND_011608,3/3/2023,Male,Scrivener Performance Engineering,Greenville,Ford,Mustang,Hatchback,Red,Manual,Overhead Camshaft,6500000,25000,38701-8047,6246574,
C_CND_007658,11/7/2022,Female,U-Haul CO,Pasco,Toyota,Celica,SUV,Pale White,Manual,Overhead Camshaft,6460000,14000,78758-7841,8797956,
C_CND_008818,11/27/2022,Male,Pars Auto Sales,Austin,Mercury,Grand Marquis,SUV,Red,Manual,Overhead Camshaft,6400000,71000,38701-8047,8758388,
C_CND_014184,5/28/2023,Female,Progressive Shippers Cooperative Association No,Middletown,Nissan,Quest,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,6400000,32001,53546-9427,6500091,
C_CND_004756,8/21/2022,Female,Rabun Used Car Sales,Scottsdale,Chrysler,Concorde,Hardtop,Pale White,Auto,DoubleÂ Overhead Camshaft,6240000,42000,85257-3102,8611664,
C_CND_016451,8/3/2023,Male,New Castle Ford Lincoln Mercury,Aurora,Mercedes-B,SLK,Passenger,Pale White,Auto,DoubleÂ Overhead Camshaft,6125000,19501,60504-7114,6489233,
C_CND_013420,5/6/2023,Male,Race Car Help,Austin,Toyota,Celica,SUV,Pale White,Manual,Overhead Camshaft,6050000,14001,78758-7841,6338366,
C_CND_022902,12/12/2023,Female,Clay Johnson Auto Sales,Austin,Cadillac,Escalade,Sedan,Black,Auto,DoubleÂ Overhead Camshaft,5925000,28500,78758-7841,8151839,
C_CND_001228,3/26/2022,Male,Race Car Help,Austin,Cadillac,Eldorado,Passenger,Pale White,Manual,Overhead Camshaft,5800000,13000,78758-7841,6135398,
C_CND_001234,3/26/2022,Male,Capitol KIA,Greenville,Volvo,C70,Hatchback,Black,Manual,Overhead Camshaft,5770000,17000,38701-8047,8080703,
C_CND_016571,8/8/2023,Male,Tri-State Mack Inc,Scottsdale,Nissan,Maxima,Sedan,Pale White,Manual,Overhead Camshaft,5700000,16001,85257-3102,7085158,
C_CND_003330,6/18/2022,Male,Clay Johnson Auto Sales,Austin,Nissan,Pathfinder,Hatchback,Red,Auto,DoubleÂ Overhead Camshaft,5600000,21000,78758-7841,7097567,
C_CND_002102,4/30/2022,Male,Pars Auto Sales,Greenville,Volvo,S40,Sedan,Red,Manual,Overhead Camshaft,5525000,17500,38701-8047,7530280,
C_CND_002802,5/30/2022,Male,Rabun Used Car Sales,Greenville,Chevrolet,Corvette,SUV,Black,Manual,Overhead Camshaft,5510000,26000,85257-3102,8337484,
C_CND_012906,4/18/2023,Male,U-Haul CO,Austin,Nissan,Frontier,Hatchback,Black,Manual,Overhead Camshaft,5500000,53000,78758-7841,8116126,
C_CND_018603,9/19/2023,Male,Diehl Motor CO Inc,Janesville,Oldsmobile,Cutlass,Sedan,Pale White,Manual,Overhead Camshaft,5500000,41000,06457-3834,7401644,
C_CND_018594,9/19/2023,Male,Tri-State Mack Inc,Greenville,Audi,A6,SUV,Black,Manual,Overhead Camshaft,5500000,25000,85257-3102,7967912,
C_CND_014453,6/5/2023,Male,Star Enterprises Inc,Pasco,Toyota,Celica,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,5450000,31001,99301-3882,8397251,
C_CND_007114,10/23/2022,Male,Classic Chevy,Austin,Volvo,S70,Hardtop,Pale White,Manual,Overhead Camshaft,5410000,24001,85257-3102,6219712,
C_CND_015591,7/8/2023,Male,C & M Motors Inc,Aurora,Nissan,Altima,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,5355000,20501,60504-7114,7328581,
C_CND_002453,5/14/2022,Female,Suburban Ford,Janesville,Porsche,Carrera Cabrio,Passenger,Pale White,Auto,DoubleÂ Overhead Camshaft,5300000,32000,53546-9427,8440164,
C_CND_009519,12/10/2022,Female,Motor Vehicle Branch Office,Austin,Acura,TL,Hatchback,Pale White,Auto,DoubleÂ Overhead Camshaft,5250000,29000,78758-7841,7100538,
C_CND_022851,12/11/2023,Male,C & M Motors Inc,Scottsdale,Toyota,Tacoma,Hardtop,Pale White,Auto,DoubleÂ Overhead Camshaft,5200000,53000,60504-7114,7845177,
C_CND_022016,12/1/2023,Male,Progressive Shippers Cooperative Association No,Greenville,Nissan,Pathfinder,Hardtop,Pale White,Auto,DoubleÂ Overhead Camshaft,5200000,46000,53546-9427,6811306,
C_CND_022197,12/2/2023,Male,Saab-Belle Dodge,Middletown,Mercedes-B,CL500,SUV,Black,Manual,Overhead Camshaft,5200000,22000,60504-7114,7238958,
C_CND_002974,6/7/2022,Female,Motor Vehicle Branch Office,Austin,Volkswagen,GTI,SUV,Pale White,Auto,DoubleÂ Overhead Camshaft,5110000,20000,78758-7841,8013015,
C_CND_016465,8/4/2023,Male,Ryder Truck Rental and Leasing,Middletown,Acura,RL,SUV,Black,Auto,DoubleÂ Overhead Camshaft,5100000,24001,06457-3834,6416327,
C_CND_014471,6/5/2023,Male,Race Car Help,Austin,Mitsubishi,Diamante,Hatchback,Pale White,Manual,Overhead Camshaft,5100000,12000,78758-7841,8515019,
